File_#,Description,Download,Data_Import,Count of Rows,Count of Columns,BigQuery,Import_Prep,SQL ,RStudio_Import,RStudio_Organize
1,dailyActivity_merged.csv,Yes,Yes,941,15,x,,,x,Summarize
2,dailyCalories_merged.csv,Yes,Yes,941,3,x,,,x,
3,dailyIntensities_merged.csv,Yes,Yes,941,10,x,,,x,
4,dailySteps_merged.csv,Yes,Yes,941,3,x,,"Avg, Min, Max, Sum, ",x,
5,heartrate_seconds_merged.csv,Yes,Yes,2483659,3,x,Format ActivityHour  to DateTime,CAST(Time AS date) AS Date,x,
6,hourlyCalories_merged.csv,Yes,Yes,22100,3,x,Format ActivityHour  to DateTime,,x,
7,hourlyIntensities_merged.csv,Yes,Yes,22100,4,x,Format ActivityHour  to DateTime,,x,
8,hourlySteps_merged.csv,Yes,Yes,22100,3,x,Format ActivityHour  to DateTime,,x,
9,minuteCaloriesNarrow_merged.csv,Yes,Yes,1325581,3,x,Format ActivityMinute to Date Time,,x,
10,minuteCaloriesWide_merged.csv,Yes,Yes,21646,62,x,Format ActivityHour  to DateTime,,x,
11,minuteIntensitiesNarrow_merged.csv,Yes,Yes,1325581,3,x,Format ActivityHour  to DateTime,,x,
12,minuteIntensitiesWide_merged.csv,Yes,Yes,21646,62,x,Format ActivityHour  to DateTime,,x,
13,minuteMETsNarrow_merged.csv,Yes,Yes,1325581,3,x,Format ActivityMinute to Date Time,"CONCAT(Id, ""-"", METs) as ID_MET",x,
14,minuteSleep_merged.csv,Yes,Yes,188522,4,x,Format date to Date Time,,x,
15,minuteStepsNarrow_merged.csv,Yes,Yes,1325581,3,x,Format ActivityMinute to Date Time,,x,
16,minuteStepsWide_merged.csv,Yes,Yes,21646,62,x,Format ActivityHour to Date Time,,x,
17,sleepDay_merged.csv,Yes,Yes,414,5,x,Format SleepDay to Date Time,,x,Group_By
18,weightLogInfo_merged.csv,Yes,Yes,68,8,x,Format Date to Date Time,"COALESCE(Fat, LogId) AS Fat_ID",x,
,,,,,,,,,,
,,,,,,,,,,
,"Sheets: Due to the size of data in each Sheets, Format, formula do not work for a few files.",,,,,,,,,
,SQL: Date field needed formatting to import,,,,,,,,,
,RStudio: the CSV files are imported and provided summaries of each data format.,,,,,,,,,
,,,,,,,,,,
,It is hard to gain insights from the analysis because there are no demographic information ,,,,,,,,,
